INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperSimpleApp: start(args)
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperSimpleApp: invoking main method
INFO   | jvm 1    | 2015/03/21 18:55:50 | runtime.MPJRuntimeException: java.io.FileNotFoundException: null/logs/daemon-khaled-Lenovo-Z50-70.log (No such file or directory)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at runtime.daemon.MPJDaemon.createLogger(MPJDaemon.java:519)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at runtime.daemon.MPJDaemon.<init>(MPJDaemon.java:105)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at runtime.daemon.MPJDaemon.main(MPJDaemon.java:1021)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at java.lang.reflect.Method.invoke(Method.java:622)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at runtime.daemon.WrapperSimpleApp.run(WrapperSimpleApp.java:187)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at java.lang.Thread.run(Thread.java:701)
INFO   | jvm 1    | 2015/03/21 18:55:50 | Caused by: java.io.FileNotFoundException: null/logs/daemon-khaled-Lenovo-Z50-70.log (No such file or directory)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at java.io.FileOutputStream.openAppend(Native Method)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:210)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:131)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:282)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at org.apache.log4j.FileAppender.<init>(FileAppender.java:106)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at org.apache.log4j.DailyRollingFileAppender.<init>(DailyRollingFileAppender.java:195)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	at runtime.daemon.MPJDaemon.createLogger(MPJDaemon.java:506)
INFO   | jvm 1    | 2015/03/21 18:55:50 | 	... 8 more
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperSimpleApp: main method completed
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperSimpleApp: start(args) end.  Main Completed=true, exitCode=null
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperListener.start runner thread stopped.
INFO   | jvm 1    | 2015/03/21 18:55:50 | returned from WrapperListener.start()
INFO   | jvm 1    | 2015/03/21 18:55:50 | Send a packet STARTED : 
INFO   | jvm 1    | 2015/03/21 18:55:50 | Startup runner thread stopped.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper Manager: ShutdownHook started
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperManager.stop(0) called by thread: Wrapper-Shutdown-Hook
INFO   | jvm 1    | 2015/03/21 18:55:50 | Send a packet STOP : 0
DEBUG  | wrapperp | 2015/03/21 18:55:50 | read a packet STARTED : 
DEBUG  | wrapper  | 2015/03/21 18:55:50 | JVM signalled that it was started.
DEBUG  | wrapperp | 2015/03/21 18:55:50 | read a packet STOP : 0
DEBUG  | wrapper  | 2015/03/21 18:55:50 | JVM requested a shutdown. (0)
DEBUG  | wrapper  | 2015/03/21 18:55:50 | wrapperStopProcess(0) called.
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Sending stop signal to JVM
DEBUG  | wrapperp | 2015/03/21 18:55:50 | send a packet STOP : NULL
INFO   | jvm 1    | 2015/03/21 18:55:50 | Received a packet STOP : 
INFO   | jvm 1    | 2015/03/21 18:55:51 | Thread, Wrapper-Shutdown-Hook, handling the shutdown process.
INFO   | jvm 1    | 2015/03/21 18:55:51 | calling listener.stop()
INFO   | jvm 1    | 2015/03/21 18:55:51 | WrapperSimpleApp: stop(0)
INFO   | jvm 1    | 2015/03/21 18:55:51 | returned from listener.stop() -> 0
INFO   | jvm 1    | 2015/03/21 18:55:51 | shutdownJVM(0) Thread:Wrapper-Shutdown-Hook
INFO   | jvm 1    | 2015/03/21 18:55:51 | Send a packet STOPPED : 0
DEBUG  | wrapperp | 2015/03/21 18:55:51 | read a packet STOPPED : 0
DEBUG  | wrapper  | 2015/03/21 18:55:51 | JVM signalled that it was stopped.
INFO   | jvm 1    | 2015/03/21 18:55:51 | Closing socket.
DEBUG  | wrapperp | 2015/03/21 18:55:51 | socket read no code (closed?).
DEBUG  | wrapperp | 2015/03/21 18:55:51 | server listening on port 32001.
DEBUG  | wrapper  | 2015/03/21 18:55:52 | JVM exited normally.
DEBUG  | wrapper  | 2015/03/21 18:55:52 | Signal trapped.  Details:
DEBUG  | wrapper  | 2015/03/21 18:55:52 |   signal number=17 (SIGCHLD), source="unknown"
DEBUG  | wrapper  | 2015/03/21 18:55:52 | Received SIGCHLD, checking JVM process status.
DEBUG  | wrapper  | 2015/03/21 18:55:52 | JVM process exited with a code of 0, leaving the wrapper exit code set to 0.
INFO   | jvm 1    | 2015/03/21 18:55:52 | Wrapper Manager: ShutdownHook complete
INFO   | jvm 1    | 2015/03/21 18:55:52 | Server daemon shut down
STATUS | wrapper  | 2015/03/21 18:55:52 | <-- Wrapper Stopped
